Partei_kurz:;"BAM-PAM"
Partei_lang:;"Pamela Rendi-Wagner"
Partei_Beschreibung:;"Passt eh alles so wie es ist. &#x1F464; &#8203; &#8206; <span data-email='info@appelpartei.de'></span> <span data-filterid='&#x1F464; &#8203; &#8206;'></span>"
Partei_URL:;"pam.at"
Partei_Bild:;"data/appel2.jpg"
-2;Ukraine -2
-2;Tempo -2
-2;Organisationsreform  -2
-2;Staatsbürgerschaft  -2
-2;Inseratekorruption  -2
#
Partei_kurz:;"VOSKO-DOSKO"
Partei_lang:;"Hans-Peter Doskozil"
Partei_Beschreibung:;"Österreich braucht mehr Burgenland.  &#8203; &#8205; <span data-filterid='&#8203; &#8205;'></span> <span data-email='info@banane.ba?cc=vorstand@banane.ba'></span>"
Partei_URL:;"https://DOSKO.at/"
Partei_Bild:;"data/banane2.jpg"
0;Ukraine 0
0;Tempo 0
0;Organisationsreform 0
0;Staatsbürgerschaft 0
0;Inseratekorruption 0
#;
Partei_kurz:;"RABLER-BABLER"
Partei_lang:;"Andreas Babler"
Partei_Beschreibung:;"Es lebe der Sozialismus <span data-filterid='&#8203; &#8205; &#8206;' data-email000000='kontakt@die-citronen.ca'></span>"
Partei_URL:;"http://www.neutrale-partei.np"
Partei_Bild:;"data/tbc2.jpg"
2;Ukraine 2
2;Tempo 2
2;Organisationsreform 2
2;Staatsbürgerschaft 2
2;Inseratekorruption 2
#;
